"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 27 07:39:38 UTC 2024","Tue Feb 27 07:39:41 UTC 2024","2908","webkit","example.spec.ts","","","","has title",""
"passed","Tue Feb 27 07:39:33 UTC 2024","Tue Feb 27 07:39:33 UTC 2024","833","chromium","example.spec.ts","","","","has title",""
"passed","Tue Feb 27 07:39:38 UTC 2024","Tue Feb 27 07:39:41 UTC 2024","2854","webkit","example.spec.ts","","","","get started link",""
"passed","Tue Feb 27 07:39:34 UTC 2024","Tue Feb 27 07:39:36 UTC 2024","2001","firefox","example.spec.ts","","","","has title",""
"passed","Tue Feb 27 07:39:33 UTC 2024","Tue Feb 27 07:39:34 UTC 2024","1133","chromium","example.spec.ts","","","","get started link",""
"passed","Tue Feb 27 07:39:34 UTC 2024","Tue Feb 27 07:39:37 UTC 2024","2395","firefox","example.spec.ts","","","","get started link",""
